Grupo de edad,fecha,Casos confirmados
<=39,2020-04-01,23
40-49,2020-04-01,23
50-59,2020-04-01,53
60-69,2020-04-01,39
>=70,2020-04-01,35
<=39,2020-04-02,23
40-49,2020-04-02,27
50-59,2020-04-02,67
60-69,2020-04-02,46
>=70,2020-04-02,37
<=39,2020-04-03,26
40-49,2020-04-03,34
50-59,2020-04-03,74
60-69,2020-04-03,56
>=70,2020-04-03,47
<=39,2020-04-04,40
40-49,2020-04-04,36
50-59,2020-04-04,84
60-69,2020-04-04,68
>=70,2020-04-04,52
<=39,2020-04-05,40
40-49,2020-04-05,40
50-59,2020-04-05,89
60-69,2020-04-05,75
>=70,2020-04-05,63
<=39,2020-04-06,38
40-49,2020-04-06,40
50-59,2020-04-06,95
60-69,2020-04-06,78
>=70,2020-04-06,76
<=39,2020-04-07,39
40-49,2020-04-07,38
50-59,2020-04-07,101
60-69,2020-04-07,82
>=70,2020-04-07,77
<=39,2020-04-08,42
40-49,2020-04-08,39
50-59,2020-04-08,109
60-69,2020-04-08,93
>=70,2020-04-08,79
<=39,2020-04-09,46
40-49,2020-04-09,48
50-59,2020-04-09,102
60-69,2020-04-09,89
>=70,2020-04-09,75
<=39,2020-04-10,45
40-49,2020-04-10,48
50-59,2020-04-10,111
60-69,2020-04-10,99
>=70,2020-04-10,80
<=39,2020-04-11,43
40-49,2020-04-11,50
50-59,2020-04-11,111
60-69,2020-04-11,100
>=70,2020-04-11,79
<=39,2020-04-12,41
40-49,2020-04-12,48
50-59,2020-04-12,110
60-69,2020-04-12,106
>=70,2020-04-12,82
<=39,2020-04-13,40
40-49,2020-04-13,45
50-59,2020-04-13,112
60-69,2020-04-13,106
>=70,2020-04-13,84
<=39,2020-04-14,42
40-49,2020-04-14,43
50-59,2020-04-14,105
60-69,2020-04-14,105
>=70,2020-04-14,84
<=39,2020-04-15,42
40-49,2020-04-15,45
50-59,2020-04-15,107
60-69,2020-04-15,110
>=70,2020-04-15,85
<=39,2020-04-16,41
40-49,2020-04-16,43
50-59,2020-04-16,103
60-69,2020-04-16,111
>=70,2020-04-16,86
<=39,2020-04-17,38
40-49,2020-04-17,44
50-59,2020-04-17,109
60-69,2020-04-17,107
>=70,2020-04-17,87
<=39,2020-04-18,34
40-49,2020-04-18,41
50-59,2020-04-18,98
60-69,2020-04-18,103
>=70,2020-04-18,84
<=39,2020-04-19,38
40-49,2020-04-19,40
50-59,2020-04-19,96
60-69,2020-04-19,111
>=70,2020-04-19,88
<=39,2020-04-20,41
40-49,2020-04-20,38
50-59,2020-04-20,96
60-69,2020-04-20,112
>=70,2020-04-20,90
<=39,2020-04-21,41
40-49,2020-04-21,42
50-59,2020-04-21,97
60-69,2020-04-21,121
>=70,2020-04-21,91
<=39,2020-04-22,44
40-49,2020-04-22,43
50-59,2020-04-22,96
60-69,2020-04-22,120
>=70,2020-04-22,96
<=39,2020-04-23,55
40-49,2020-04-23,40
50-59,2020-04-23,99
60-69,2020-04-23,120
>=70,2020-04-23,97
<=39,2020-04-24,58
40-49,2020-04-24,45
50-59,2020-04-24,100
60-69,2020-04-24,113
>=70,2020-04-24,99
<=39,2020-04-25,61
40-49,2020-04-25,40
50-59,2020-04-25,102
60-69,2020-04-25,114
>=70,2020-04-25,101
<=39,2020-04-26,61
40-49,2020-04-26,41
50-59,2020-04-26,101
60-69,2020-04-26,111
>=70,2020-04-26,101
<=39,2020-04-27,63
40-49,2020-04-27,39
50-59,2020-04-27,105
60-69,2020-04-27,112
>=70,2020-04-27,107
<=39,2020-04-28,64
40-49,2020-04-28,39
50-59,2020-04-28,105
60-69,2020-04-28,115
>=70,2020-04-28,105
<=39,2020-04-29,58
40-49,2020-04-29,36
50-59,2020-04-29,105
60-69,2020-04-29,108
>=70,2020-04-29,111
<=39,2020-04-30,52
40-49,2020-04-30,41
50-59,2020-04-30,103
60-69,2020-04-30,115
>=70,2020-04-30,108
<=39,2020-05-01,50
40-49,2020-05-01,44
50-59,2020-05-01,108
60-69,2020-05-01,115
>=70,2020-05-01,111
<=39,2020-05-02,52
40-49,2020-05-02,42
50-59,2020-05-02,111
60-69,2020-05-02,110
>=70,2020-05-02,110
<=39,2020-05-03,55
40-49,2020-05-03,45
50-59,2020-05-03,118
60-69,2020-05-03,117
>=70,2020-05-03,114
<=39,2020-05-04,55
40-49,2020-05-04,50
50-59,2020-05-04,122
60-69,2020-05-04,123
>=70,2020-05-04,114
<=39,2020-05-05,54
40-49,2020-05-05,50
50-59,2020-05-05,115
60-69,2020-05-05,130
>=70,2020-05-05,121
<=39,2020-05-06,53
40-49,2020-05-06,48
50-59,2020-05-06,123
60-69,2020-05-06,141
>=70,2020-05-06,121
<=39,2020-05-07,53
40-49,2020-05-07,52
50-59,2020-05-07,127
60-69,2020-05-07,138
>=70,2020-05-07,123
<=39,2020-05-08,53
40-49,2020-05-08,56
50-59,2020-05-08,124
60-69,2020-05-08,149
>=70,2020-05-08,126
<=39,2020-05-09,59
40-49,2020-05-09,66
50-59,2020-05-09,134
60-69,2020-05-09,154
>=70,2020-05-09,131
<=39,2020-05-10,61
40-49,2020-05-10,68
50-59,2020-05-10,139
60-69,2020-05-10,160
>=70,2020-05-10,137
<=39,2020-05-11,62
40-49,2020-05-11,73
50-59,2020-05-11,136
60-69,2020-05-11,166
>=70,2020-05-11,137
<=39,2020-05-12,73
40-49,2020-05-12,71
50-59,2020-05-12,145
60-69,2020-05-12,176
>=70,2020-05-12,139
<=39,2020-05-13,77
40-49,2020-05-13,75
50-59,2020-05-13,152
60-69,2020-05-13,188
>=70,2020-05-13,150
<=39,2020-05-14,78
40-49,2020-05-14,77
50-59,2020-05-14,162
60-69,2020-05-14,197
>=70,2020-05-14,149
<=39,2020-05-15,82
40-49,2020-05-15,84
50-59,2020-05-15,182
60-69,2020-05-15,213
>=70,2020-05-15,150
<=39,2020-05-16,94
40-49,2020-05-16,95
50-59,2020-05-16,188
60-69,2020-05-16,214
>=70,2020-05-16,160
<=39,2020-05-17,95
40-49,2020-05-17,94
50-59,2020-05-17,196
60-69,2020-05-17,217
>=70,2020-05-17,167
<=39,2020-05-18,100
40-49,2020-05-18,98
50-59,2020-05-18,211
60-69,2020-05-18,222
>=70,2020-05-18,176
<=39,2020-05-19,110
40-49,2020-05-19,111
50-59,2020-05-19,231
60-69,2020-05-19,242
>=70,2020-05-19,182
<=39,2020-05-20,111
40-49,2020-05-20,117
50-59,2020-05-20,233
60-69,2020-05-20,256
>=70,2020-05-20,187
<=39,2020-05-21,120
40-49,2020-05-21,117
50-59,2020-05-21,247
60-69,2020-05-21,266
>=70,2020-05-21,193
<=39,2020-05-22,128
40-49,2020-05-22,121
50-59,2020-05-22,256
60-69,2020-05-22,288
>=70,2020-05-22,193
<=39,2020-05-23,132
40-49,2020-05-23,127
50-59,2020-05-23,280
60-69,2020-05-23,318
>=70,2020-05-23,205
<=39,2020-05-24,131
40-49,2020-05-24,123
50-59,2020-05-24,292
60-69,2020-05-24,331
>=70,2020-05-24,213
<=39,2020-05-25,136
40-49,2020-05-25,128
50-59,2020-05-25,307
60-69,2020-05-25,345
>=70,2020-05-25,219
<=39,2020-05-26,137
40-49,2020-05-26,141
50-59,2020-05-26,336
60-69,2020-05-26,357
>=70,2020-05-26,231
<=39,2020-05-27,135
40-49,2020-05-27,145
50-59,2020-05-27,369
60-69,2020-05-27,366
>=70,2020-05-27,236
<=39,2020-05-28,142
40-49,2020-05-28,153
50-59,2020-05-28,373
60-69,2020-05-28,378
>=70,2020-05-28,243
<=39,2020-05-29,137
40-49,2020-05-29,162
50-59,2020-05-29,395
60-69,2020-05-29,410
>=70,2020-05-29,246
<=39,2020-05-30,133
40-49,2020-05-30,161
50-59,2020-05-30,404
60-69,2020-05-30,431
>=70,2020-05-30,242
<=39,2020-05-31,130
40-49,2020-05-31,160
50-59,2020-05-31,403
60-69,2020-05-31,439
>=70,2020-05-31,251
<=39,2020-06-01,133
40-49,2020-06-01,170
50-59,2020-06-01,414
60-69,2020-06-01,470
>=70,2020-06-01,259
<=39,2020-06-02,140
40-49,2020-06-02,173
50-59,2020-06-02,414
60-69,2020-06-02,472
>=70,2020-06-02,252
<=39,2020-06-03,143
40-49,2020-06-03,173
50-59,2020-06-03,413
60-69,2020-06-03,489
>=70,2020-06-03,257
<=39,2020-06-04,135
40-49,2020-06-04,179
50-59,2020-06-04,424
60-69,2020-06-04,486
>=70,2020-06-04,272
<=39,2020-06-05,143
40-49,2020-06-05,180
50-59,2020-06-05,426
60-69,2020-06-05,496
>=70,2020-06-05,276
<=39,2020-06-06,144
40-49,2020-06-06,181
50-59,2020-06-06,427
60-69,2020-06-06,499
>=70,2020-06-06,273
<=39,2020-06-07,145
40-49,2020-06-07,176
50-59,2020-06-07,436
60-69,2020-06-07,522
>=70,2020-06-07,279
<=39,2020-06-08,147
40-49,2020-06-08,184
50-59,2020-06-08,440
60-69,2020-06-08,527
>=70,2020-06-08,283
<=39,2020-06-09,139
40-49,2020-06-09,185
50-59,2020-06-09,444
60-69,2020-06-09,523
>=70,2020-06-09,286
<=39,2020-06-10,142
40-49,2020-06-10,189
50-59,2020-06-10,447
60-69,2020-06-10,519
>=70,2020-06-10,293
<=39,2020-06-11,148
40-49,2020-06-11,196
50-59,2020-06-11,463
60-69,2020-06-11,519
>=70,2020-06-11,292
<=39,2020-06-12,152
40-49,2020-06-12,207
50-59,2020-06-12,467
60-69,2020-06-12,526
>=70,2020-06-12,295
<=39,2020-06-13,152
40-49,2020-06-13,212
50-59,2020-06-13,470
60-69,2020-06-13,518
>=70,2020-06-13,304
<=39,2020-06-14,153
40-49,2020-06-14,216
50-59,2020-06-14,488
60-69,2020-06-14,544
>=70,2020-06-14,314
<=39,2020-06-15,153
40-49,2020-06-15,215
50-59,2020-06-15,492
60-69,2020-06-15,547
>=70,2020-06-15,316
<=39,2020-06-16,154
40-49,2020-06-16,223
50-59,2020-06-16,490
60-69,2020-06-16,550
>=70,2020-06-16,310
<=39,2020-06-17,153
40-49,2020-06-17,230
50-59,2020-06-17,508
60-69,2020-06-17,580
>=70,2020-06-17,323
<=39,2020-06-18,162
40-49,2020-06-18,238
50-59,2020-06-18,516
60-69,2020-06-18,595
>=70,2020-06-18,334
<=39,2020-06-19,169
40-49,2020-06-19,238
50-59,2020-06-19,541
60-69,2020-06-19,623
>=70,2020-06-19,340
<=39,2020-06-20,172
40-49,2020-06-20,254
50-59,2020-06-20,548
60-69,2020-06-20,630
>=70,2020-06-20,347
<=39,2020-06-21,177
40-49,2020-06-21,256
50-59,2020-06-21,565
60-69,2020-06-21,647
>=70,2020-06-21,351
<=39,2020-06-22,179
40-49,2020-06-22,259
50-59,2020-06-22,559
60-69,2020-06-22,661
>=70,2020-06-22,356
<=39,2020-06-23,176
40-49,2020-06-23,261
50-59,2020-06-23,556
60-69,2020-06-23,666
>=70,2020-06-23,350
<=39,2020-06-24,175
40-49,2020-06-24,262
50-59,2020-06-24,557
60-69,2020-06-24,689
>=70,2020-06-24,363
<=39,2020-06-25,179
40-49,2020-06-25,265
50-59,2020-06-25,563
60-69,2020-06-25,701
>=70,2020-06-25,370
<=39,2020-06-26,176
40-49,2020-06-26,256
50-59,2020-06-26,568
60-69,2020-06-26,721
>=70,2020-06-26,365
<=39,2020-06-27,171
40-49,2020-06-27,245
50-59,2020-06-27,573
60-69,2020-06-27,733
>=70,2020-06-27,368
<=39,2020-06-28,171
40-49,2020-06-28,244
50-59,2020-06-28,572
60-69,2020-06-28,763
>=70,2020-06-28,379
<=39,2020-06-29,166
40-49,2020-06-29,238
50-59,2020-06-29,551
60-69,2020-06-29,752
>=70,2020-06-29,383
<=39,2020-06-30,165
40-49,2020-06-30,241
50-59,2020-06-30,555
60-69,2020-06-30,755
>=70,2020-06-30,390
<=39,2020-07-01,162
40-49,2020-07-01,232
50-59,2020-07-01,539
60-69,2020-07-01,750
>=70,2020-07-01,392
<=39,2020-07-02,172
40-49,2020-07-02,232
50-59,2020-07-02,544
60-69,2020-07-02,766
>=70,2020-07-02,385
<=39,2020-07-03,167
40-49,2020-07-03,234
50-59,2020-07-03,544
60-69,2020-07-03,766
>=70,2020-07-03,396
<=39,2020-07-04,161
40-49,2020-07-04,229
50-59,2020-07-04,540
60-69,2020-07-04,755
>=70,2020-07-04,392
<=39,2020-07-05,157
40-49,2020-07-05,221
50-59,2020-07-05,536
60-69,2020-07-05,759
>=70,2020-07-05,405
<=39,2020-07-06,156
40-49,2020-07-06,215
50-59,2020-07-06,522
60-69,2020-07-06,765
>=70,2020-07-06,411
<=39,2020-07-07,154
40-49,2020-07-07,211
50-59,2020-07-07,521
60-69,2020-07-07,767
>=70,2020-07-07,407
<=39,2020-07-08,142
40-49,2020-07-08,216
50-59,2020-07-08,514
60-69,2020-07-08,759
>=70,2020-07-08,422
<=39,2020-07-09,141
40-49,2020-07-09,208
50-59,2020-07-09,494
60-69,2020-07-09,734
>=70,2020-07-09,422
<=39,2020-07-10,142
40-49,2020-07-10,210
50-59,2020-07-10,488
60-69,2020-07-10,726
>=70,2020-07-10,424
<=39,2020-07-11,145
40-49,2020-07-11,206
50-59,2020-07-11,496
60-69,2020-07-11,720
>=70,2020-07-11,432
<=39,2020-07-12,143
40-49,2020-07-12,198
50-59,2020-07-12,498
60-69,2020-07-12,723
>=70,2020-07-12,433
<=39,2020-07-13,135
40-49,2020-07-13,188
50-59,2020-07-13,482
60-69,2020-07-13,696
>=70,2020-07-13,430
<=39,2020-07-14,139
40-49,2020-07-14,191
50-59,2020-07-14,471
60-69,2020-07-14,686
>=70,2020-07-14,428
<=39,2020-07-15,143
40-49,2020-07-15,189
50-59,2020-07-15,465
60-69,2020-07-15,663
>=70,2020-07-15,418
<=39,2020-07-16,132
40-49,2020-07-16,181
50-59,2020-07-16,451
60-69,2020-07-16,643
>=70,2020-07-16,414
<=39,2020-07-17,130
40-49,2020-07-17,184
50-59,2020-07-17,441
60-69,2020-07-17,631
>=70,2020-07-17,410
<=39,2020-07-18,130
40-49,2020-07-18,187
50-59,2020-07-18,433
60-69,2020-07-18,633
>=70,2020-07-18,409
<=39,2020-07-19,120
40-49,2020-07-19,180
50-59,2020-07-19,430
60-69,2020-07-19,629
>=70,2020-07-19,405
<=39,2020-07-20,121
40-49,2020-07-20,180
50-59,2020-07-20,423
60-69,2020-07-20,623
>=70,2020-07-20,406
<=39,2020-07-21,115
40-49,2020-07-21,175
50-59,2020-07-21,420
60-69,2020-07-21,615
>=70,2020-07-21,403
<=39,2020-07-22,112
40-49,2020-07-22,169
50-59,2020-07-22,396
60-69,2020-07-22,597
>=70,2020-07-22,414
<=39,2020-07-23,112
40-49,2020-07-23,168
50-59,2020-07-23,380
60-69,2020-07-23,590
>=70,2020-07-23,420
<=39,2020-07-24,117
40-49,2020-07-24,157
50-59,2020-07-24,365
60-69,2020-07-24,566
>=70,2020-07-24,431
<=39,2020-07-25,116
40-49,2020-07-25,149
50-59,2020-07-25,357
60-69,2020-07-25,560
>=70,2020-07-25,430
<=39,2020-07-26,116
40-49,2020-07-26,144
50-59,2020-07-26,347
60-69,2020-07-26,547
>=70,2020-07-26,438
<=39,2020-07-27,113
40-49,2020-07-27,139
50-59,2020-07-27,340
60-69,2020-07-27,530
>=70,2020-07-27,433
<=39,2020-07-28,113
40-49,2020-07-28,137
50-59,2020-07-28,332
60-69,2020-07-28,520
>=70,2020-07-28,427
<=39,2020-07-29,112
40-49,2020-07-29,128
50-59,2020-07-29,318
60-69,2020-07-29,517
>=70,2020-07-29,410
<=39,2020-07-30,99
40-49,2020-07-30,129
50-59,2020-07-30,309
60-69,2020-07-30,509
>=70,2020-07-30,417
<=39,2020-07-31,97
40-49,2020-07-31,123
50-59,2020-07-31,318
60-69,2020-07-31,489
>=70,2020-07-31,418
<=39,2020-08-01,97
40-49,2020-08-01,123
50-59,2020-08-01,318
60-69,2020-08-01,489
>=70,2020-08-01,418
<=39,2020-08-02,97
40-49,2020-08-02,123
50-59,2020-08-02,319
60-69,2020-08-02,490
>=70,2020-08-02,408
<=39,2020-08-03,94
40-49,2020-08-03,120
50-59,2020-08-03,314
60-69,2020-08-03,487
>=70,2020-08-03,404
<=39,2020-08-04,91
40-49,2020-08-04,121
50-59,2020-08-04,314
60-69,2020-08-04,474
>=70,2020-08-04,405
<=39,2020-08-05,90
40-49,2020-08-05,121
50-59,2020-08-05,319
60-69,2020-08-05,468
>=70,2020-08-05,402
<=39,2020-08-06,89
40-49,2020-08-06,115
50-59,2020-08-06,308
60-69,2020-08-06,463
>=70,2020-08-06,383
<=39,2020-08-07,98
40-49,2020-08-07,112
50-59,2020-08-07,302
60-69,2020-08-07,461
>=70,2020-08-07,375
<=39,2020-08-08,89
40-49,2020-08-08,105
50-59,2020-08-08,303
60-69,2020-08-08,447
>=70,2020-08-08,361
<=39,2020-08-09,78
40-49,2020-08-09,106
50-59,2020-08-09,304
60-69,2020-08-09,432
>=70,2020-08-09,356
<=39,2020-08-10,79
40-49,2020-08-10,106
50-59,2020-08-10,306
60-69,2020-08-10,427
>=70,2020-08-10,362
<=39,2020-08-11,73
40-49,2020-08-11,106
50-59,2020-08-11,301
60-69,2020-08-11,422
>=70,2020-08-11,366
<=39,2020-08-12,73
40-49,2020-08-12,105
50-59,2020-08-12,295
60-69,2020-08-12,420
>=70,2020-08-12,362
<=39,2020-08-13,71
40-49,2020-08-13,105
50-59,2020-08-13,293
60-69,2020-08-13,435
>=70,2020-08-13,355
<=39,2020-08-14,75
40-49,2020-08-14,103
50-59,2020-08-14,294
60-69,2020-08-14,424
>=70,2020-08-14,356
<=39,2020-08-15,70
40-49,2020-08-15,96
50-59,2020-08-15,283
60-69,2020-08-15,412
>=70,2020-08-15,346
<=39,2020-08-16,72
40-49,2020-08-16,97
50-59,2020-08-16,274
60-69,2020-08-16,400
>=70,2020-08-16,347
<=39,2020-08-17,74
40-49,2020-08-17,98
50-59,2020-08-17,265
60-69,2020-08-17,397
>=70,2020-08-17,343
<=39,2020-08-18,73
40-49,2020-08-18,96
50-59,2020-08-18,263
60-69,2020-08-18,391
>=70,2020-08-18,334
<=39,2020-08-19,69
40-49,2020-08-19,88
50-59,2020-08-19,251
60-69,2020-08-19,383
>=70,2020-08-19,329
<=39,2020-08-20,66
